timestamps,TP9,AF7,AF8,TP10,Right AUX
1731646380.279,-49.316,-30.762,-28.320,-69.824,0.000
1731646380.283,-49.316,-38.574,-27.832,-47.363,0.000
1731646380.286,-37.598,-40.527,-22.461,-25.391,0.000
1731646380.290,-52.246,-46.875,-24.902,-17.578,0.000
1731646380.294,-54.688,-45.410,-23.438,-36.133,0.000
1731646380.298,-40.527,-38.574,-22.461,-44.434,0.000
1731646380.302,-49.316,-32.227,-22.461,-44.922,0.000
1731646380.306,-38.086,-22.949,-23.438,-45.410,0.000
1731646380.310,-19.043,-17.090,-24.902,-27.832,0.000
1731646380.314,-27.344,-17.578,-26.855,-24.902,0.000
1731646380.318,-30.273,-31.250,-30.273,-60.547,0.000
1731646380.322,-35.645,-30.273,-29.785,-88.379,0.000
1731646380.326,-51.758,-30.273,-29.785,-86.426,0.000
1731646380.329,-13.184,-33.203,-17.578,-60.547,0.000
1731646380.333,13.672,-43.945,-14.160,-60.547,0.000
1731646380.337,-28.320,-47.363,-28.320,-78.613,0.000
1731646380.341,-36.133,-38.574,-24.902,-74.707,0.000
1731646380.345,-34.180,-39.062,-15.137,-73.730,0.000
1731646380.349,-47.363,-35.156,-20.508,-95.703,0.000
1731646380.353,-29.297,-22.461,-20.996,-76.660,0.000
1731646380.357,-10.742,-24.902,-28.320,-54.688,0.000
1731646380.361,-19.043,-21.484,-21.484,-75.684,0.000
1731646380.365,-32.227,-34.668,-13.672,-81.543,0.000
1731646380.368,-26.855,-54.688,-23.438,-88.379,0.000
1731646380.372,-24.414,-51.270,-25.879,-83.984,0.000
1731646380.376,-31.250,-45.898,-26.855,-84.473,0.000
1731646380.380,-28.809,-41.016,-28.320,-90.820,0.000
1731646380.384,-5.371,-35.645,-35.156,-83.008,0.000
1731646380.388,1.953,-45.898,-41.504,-77.148,0.000
1731646380.392,-24.414,-41.504,-34.180,-79.102,0.000
1731646380.396,-29.785,-21.484,-28.320,-93.262,0.000
1731646380.400,-31.738,-36.133,-37.598,-84.473,0.000
1731646380.404,-30.762,-38.086,-34.668,-48.828,0.000
1731646380.408,-33.691,-26.855,-34.180,-77.637,0.000
1731646380.411,-53.223,-44.922,-32.715,-128.906,0.000
1731646380.415,-48.828,-62.988,-28.320,-131.348,0.000
1731646380.419,-41.504,-62.012,-36.133,-98.145,0.000
1731646380.423,-40.527,-54.199,-38.574,-81.543,0.000
1731646380.427,-29.785,-41.504,-46.875,-89.844,0.000
1731646380.431,-52.734,-36.133,-38.574,-82.520,0.000
1731646380.435,-75.684,-34.180,-24.414,-98.145,0.000
1731646380.439,-57.129,-30.762,-36.621,-91.309,0.000
1731646380.443,-26.855,-35.156,-45.410,-60.547,0.000
1731646380.447,-45.410,-41.016,-43.945,-107.422,0.000
1731646380.451,-62.500,-29.785,-33.691,-117.188,0.000
1731646380.454,-57.617,-25.879,-26.367,-92.285,0.000
1731646380.458,-47.363,-26.855,-23.926,-76.660,0.000
1731646380.462,-41.016,-21.973,-27.832,-61.523,0.000
1731646380.466,-48.340,-25.391,-38.086,-71.777,0.000
1731646380.470,-25.879,-22.461,-36.133,-53.223,0.000
1731646380.474,-13.184,-25.879,-34.668,-48.340,0.000
1731646380.478,-50.781,-37.109,-28.320,-92.773,0.000
1731646380.482,-72.754,-44.434,-29.785,-96.680,0.000
1731646380.486,-58.594,-32.227,-30.273,-73.730,0.000
1731646380.490,-23.438,-28.320,-20.020,-51.270,0.000
1731646380.493,-33.691,-39.551,-23.438,-65.430,0.000
1731646380.497,-65.430,-36.621,-27.832,-66.406,0.000
1731646380.501,-64.453,-32.227,-35.156,-48.828,0.000
1731646380.505,-56.641,-43.945,-40.527,-66.406,0.000
1731646380.509,-61.523,-58.105,-22.949,-69.824,0.000
1731646380.513,-62.500,-54.688,-11.719,-65.430,0.000
1731646380.517,-57.129,-48.340,-17.578,-59.570,0.000
1731646380.521,-27.832,-53.711,-30.273,-45.410,0.000
1731646380.525,-28.809,-44.434,-29.785,-63.965,0.000
1731646380.529,-61.523,-31.738,-23.438,-85.449,0.000
1731646380.533,-69.824,-14.648,-23.926,-80.566,0.000
1731646380.536,-50.293,-26.855,-23.438,-94.727,0.000
1731646380.540,-62.500,-63.477,-32.715,-101.074,0.000
1731646380.544,-69.824,-50.781,-40.527,-76.172,0.000
1731646380.548,-53.223,-29.785,-39.062,-100.098,0.000
1731646380.552,-70.312,-31.738,-30.273,-116.699,0.000
1731646380.556,-70.312,-33.203,-19.531,-83.496,0.000
1731646380.560,-60.547,-48.828,-20.020,-92.285,0.000
1731646380.564,-64.453,-59.082,-24.414,-108.398,0.000
1731646380.568,-64.941,-54.688,-24.902,-105.957,0.000
1731646380.572,-56.152,-53.711,-25.879,-89.844,0.000
1731646380.576,-64.941,-52.246,-32.715,-80.566,0.000
1731646380.579,-80.078,-41.992,-37.109,-104.980,0.000
1731646380.583,-83.008,-49.316,-35.645,-106.445,0.000
1731646380.587,-77.148,-64.941,-26.855,-89.844,0.000
1731646380.591,-66.895,-47.852,-31.738,-86.426,0.000
1731646380.595,-64.453,-48.340,-32.227,-72.754,0.000
1731646380.599,-68.848,-58.594,-23.926,-83.008,0.000
1731646380.603,-76.660,-38.574,-31.738,-101.562,0.000
1731646380.607,-92.773,-28.809,-28.809,-99.121,0.000
1731646380.611,-94.238,-36.133,-28.320,-114.258,0.000
1731646380.615,-84.473,-48.340,-26.367,-135.742,0.000
1731646380.618,-77.148,-53.223,-27.832,-124.023,0.000
1731646380.622,-77.148,-52.246,-32.227,-100.586,0.000
1731646380.626,-74.219,-46.875,-27.832,-98.145,0.000
1731646380.630,-50.781,-44.922,-33.691,-81.543,0.000
1731646380.634,-39.551,-44.434,-36.133,-80.078,0.000
1731646380.638,-39.551,-32.715,-26.855,-101.074,0.000
